,아파트
0,간석래미안자이
8,관교한신휴플러스
14,구월아시아드선수촌센트럴자이
15,구월유승한내들퍼스티지
24,구월힐스테이트1단지
49,구월힐스테이트3단지
51,금호타운
53,남촌풍림2차
55,논현파크포레
85,대림
89,대성유니드별빛마을
90,더샵인천스카이타워1단지
110,도화동신동아파밀리에
112,동부(관교동부)
114,동아
116,동아풍림
125,롯데캐슬골드
127,벽산
162,서창센트라스아파트
166,서창센트럴푸르지오
176,서창자이
178,서창퍼스트뷰(7단지)
194,서해그랑블
196,성원상떼빌
199,스타디움센트럴시티
201,신동아
203,신동아3
205,신동아7
207,신동아8
210,신영구월지웰시티푸르지오
214,어울림마을
219,에코메트로11
254,에코메트로12
262,에코메트로5
277,에코메트로6
325,에코메트로7
374,에코에비뉴
389,엘에이치미추홀퍼스트
401,용현2단지금호타운
404,용현동아
407,"월드스테이트(101~111,124~132)"
409,월드스테이트(201~205)
412,유호엔시티101-103동
415,이편한세상서창
485,인천SKSkyVIEW
488,인천간석휴먼시아2단지
492,주공11단지
493,진흥
494,포레시안
548,풍림아이원
572,한국
581,한신휴플러스
589,한화꿈에그린
592,향촌휴먼시아2단지
593,현대
595,현대(893-0)
598,호반베르디움
626,휴먼시아동산마을
